,year,building_type,sq_ft,sq_ft_classification,ghgi,max_size,min_size
278,2029,Fire/Police Station,>50-90K Buildings,C,2.44,90000,50000
279,2029,Fire/Police Station,>30-50K Buildings,D,2.44,50000,30000
280,2029,Fire/Police Station,>20-30K Buildings,E,,50000,20000
281,2029,Fire/Police Station,<20k buildings,F,,20000,0
282,2029,Hospital,>220K Buildings,A,5.12,1000000,220000
283,2029,Hospital,>90-220K Buildings,B,5.12,220000,90000
284,2029,Hospital,>50-90K Buildings,C,5.12,90000,50000
285,2029,Hospital,>30-50K Buildings,D,5.12,50000,30000
286,2029,Hospital,>20-30K Buildings,E,,50000,20000
287,2029,Hospital,<20k buildings,F,,20000,0
288,2029,Hotel,>220K Buildings,A,2.22,1000000,220000
289,2029,Hotel,>90-220K Buildings,B,2.22,220000,90000
290,2029,Hotel,>50-90K Buildings,C,2.22,90000,50000
291,2029,Hotel,>30-50K Buildings,D,2.22,50000,30000
292,2029,Hotel,>20-30K Buildings,E,,50000,20000
293,2029,Hotel,<20k buildings,F,,20000,0
294,2029,K-12 School,>220K Buildings,A,0.98,1000000,220000
295,2029,K-12 School,>90-220K Buildings,B,0.98,220000,90000
296,2029,K-12 School,>50-90K Buildings,C,0.98,90000,50000
297,2029,K-12 School,>30-50K Buildings,D,0.98,50000,30000
298,2029,K-12 School,>20-30K Buildings,E,,50000,20000
299,2029,K-12 School,<20k buildings,F,,20000,0
300,2029,Laboratory,>220K Buildings,A,6.78,1000000,220000
301,2029,Laboratory,>90-220K Buildings,B,6.78,220000,90000
302,2029,Laboratory,>50-90K Buildings,C,6.78,90000,50000
303,2029,Laboratory,>30-50K Buildings,D,6.78,50000,30000
304,2029,Laboratory,>20-30K Buildings,E,,50000,20000
305,2029,Laboratory,<20k buildings,F,,20000,0
306,2029,Multifamily Housing,>220K Buildings,A,,1000000,220000
307,2029,Multifamily Housing,>90-220K Buildings,B,,220000,90000
308,2029,Multifamily Housing,>50-90K Buildings,C,,90000,50000
309,2029,Multifamily Housing,>30-50K Buildings,D,,50000,30000
310,2029,Multifamily Housing,>20-30K Buildings,E,,50000,20000
311,2029,Multifamily Housing,<20k buildings,F,,20000,0
312,2029,Non-Refrigerated Warehouse,>220K Buildings,A,0.65,1000000,220000
313,2029,Non-Refrigerated Warehouse,>90-220K Buildings,B,0.65,220000,90000
314,2029,Non-Refrigerated Warehouse,>50-90K Buildings,C,0.65,90000,50000
315,2029,Non-Refrigerated Warehouse,>30-50K Buildings,D,0.65,50000,30000
316,2029,Non-Refrigerated Warehouse,>20-30K Buildings,E,,50000,20000
317,2029,Non-Refrigerated Warehouse,<20k buildings,F,,20000,0
318,2029,Office,>220K Buildings,A,0.63,1000000,220000
319,2029,Office,>90-220K Buildings,B,0.63,220000,90000
320,2029,Office,>50-90K Buildings,C,0.63,90000,50000
321,2029,Office,>30-50K Buildings,D,0.63,50000,30000
322,2029,Office,>20-30K Buildings,E,,50000,20000
323,2029,Office,<20k buildings,F,,20000,0
324,2029,Other,>220K Buildings,A,2.13,1000000,220000
325,2029,Other,>90-220K Buildings,B,2.13,220000,90000
