,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match
38,HENSON FAMILY LIMITED LIABILITY COMPANY,HENSON FAMILY LIMITED LIABILITY COMPANY,601 842 295,751864,"111 W HIGHLAND DR APT 3E, SEATTLE, WA, 98119-3585, UNITED STATES",Active,False,False,False
39,AVALON ARTISTS LLC,AVALON ARTISTS LLC,604 133 650,45341,"5021 COLORADO AVE S, SEATTLE, WA, 98134-2404, UNITED STATES",Active,False,False,False
40,B & B PARTNERS II LLC,B & B PARTNERS II LLC,602 213 881,47632,"1420 5TH AVE, 1420 FIFTH AVENUE SUITE 4200, SEATTLE, WA, 98101-2375, UNITED STATES",Active,False,False,False
41,EXCHANGE 54 S DAWSON LLC,EXCHANGE 54 S DAWSON LLC,603 437 998,158541,"1800 WAZEE ST, SUITE 500, DENVER, CO, 80202-2526, UNITED STATES",Active,False,False,False
42,PURPLE CHEETAH LLC,PURPLE CHEETAH LLC,602 747 975,396623,"1115 HEMLOCK AVE SW, NORTH BEND, WA, 98045-7952, UNITED STATES",Active,False,False,False
43,SEADRUNAR PROPERTIES,SEADRUNAR PROPERTIES,601 867 081,924741,"10344 14TH AVE S, SEATTLE, WA, 98168-1689, UNITED STATES",Active,False,False,False
44,NICOLA URBANWORKS LP,NICOLA URBANWORKS LP,604 736 441,1443835,"600 UNIVERSITY ST, SUITE 2310, SEATTLE, WA, 98101-4112, UNITED STATES",Active,False,False,False
45,BIESOLD 4100 LLC,BIESOLD 4100 LLC,602 700 653,585894,"1141 RODEO RD, CLE ELUM, WA, 98922-9061, UNITED STATES",Active,False,False,False
46,TERRENO 4225 2ND AVENUE SOUTH LLC,TERRENO 4225 2ND AVENUE SOUTH LLC,603 552 414,296747,"101 MONTGOMERY STREET, SUITE 200, SAN FRANCISCO, CA, 94104, UNITED STATES",Active,False,False,False
47,COSTCO WHOLESALE CORPORATION,COSTCO WHOLESALE CORPORATION,601 024 674,626785,"999 LAKE DR, ISSAQUAH, WA, 98027-8990, UNITED STATES",Active,True,False,False
48,BNR CORPORATION,BNR CORPORATION,601 305 270,581246,"2250 OCCIDENTAL AVE. SOUTH, SEATTLE, WA, 98134, UNITED STATES",Active,False,False,False
49,HGA INVESTMENTS LLC,HGA INVESTMENTS LLC,603 239 651,740032,"1301 ALASKAN WAY, SEATTLE, WA, 98101-2013, UNITED STATES",Active,False,False,False
50,FM 1703 6TH AVE SOUTH LLC,FM 1703 6TH AVE SOUTH LLC,604 759 101,1457275,"1191 2ND AVE STE 2000, SEATTLE, WA, 98101-3404, UNITED STATES",Active,False,False,False
51,PACIFIC MILLENNIAL REALTY LLC,PACIFIC MILLENNIAL REALTY LLC,603 547 586,366935,"2343 EVERGREEN POINT RD, MEDINA, WA, 98039, UNITED STATES",Active,False,False,False
52,PREDATION LLC,PREDATION LLC,602 440 221,936426,"270 S HANFORD ST, SUITE 100, SEATTLE, WA, 98134-1926, UNITED STATES",Active,False,False,False
53,1000 1ST AVENUE SOUTH LIMITED PARTNERSHIP,1000 1ST AVENUE SOUTH LIMITED PARTNERSHIP,602 646 346,1629,"270 S HANFORD ST #100, SEATTLE, WA, 98134, UNITED STATES",Active,False,False,False
54,BEL TEMPO LLC,BEL TEMPO LLC,604 863 718,1526799,"1380 112TH AVE NE, STE 200, BELLEVUE, WA, 98004-3759, UNITED STATES",Active,False,False,False
55,NICOLA SOUTH HANFORD LP,NICOLA SOUTH HANFORD LP,604 799 158,1487106,"600 UNIVERSITY ST, SUITE 2310, SEATTLE, WA, 98101-4112, UNITED STATES",Active,False,False,False
56,FOUNDRY LLC,FOUNDRY LLC,603 252 443,125993,,Administratively Dissolved,True,False,False
57,FOUNDRY LLC,FOUNDRY LLC,604 048 597,182831,"121 LAKESIDE AVE, SUITE B, SEATTLE, WA, 98122-6599, UNITED STATES",Active,False,False,False
58,JUKEBOX CITY BUILDING LLC,JUKEBOX CITY BUILDING LLC,602 286 386,297179,,Administratively Dissolved,False,False,False
59,JUKEBOX CITY BUILDING LLC,JUKEBOX CITY BUILDING LLC,604 929 820,1568367,"17622 12TH AVE SW, NORMANDY PARK, WA, 98166-3600, UNITED STATES",Active,False,False,False
60,CREF3 2326 AIRPORT WAY OWNER LLC,CREF3 2326 AIRPORT WAY OWNER LLC,604 707 826,1424837,"1345 AVENUE OF THE AMERICAS FL 46, NEW YORK, NY, 10105, UNITED STATES",Active,False,False,False
61,SIC PROJECT OWNER LLC,SIC PROJECT OWNER LLC,604 992 837,1612201,"232 7TH AVE N STE 100, SEATTLE, WA, 98109-5007, UNITED STATES",Active,False,False,False
62,TERRENO 4930 3RD AVENUE SOUTH LLC,TERRENO 4930 3RD AVENUE SOUTH LLC,603 573 258,1061339,"101 MONTGOMERY STREET, SUITE 200, SAN FRANCISCO, CA, 94104, UNITED STATES",Active,False,False,False
