Owner,PropertyGFABuilding_s_,TotalGHGEmissions__metric_tons_,Electricity_kBtu_,NaturalGas_kBtu_,SteamUse_kBtu_
BALLARD MILTIFAMILY ACQUISITION LLC,110405.0,110.6,1876426.0,1894854.0,0.0
BALLARD SPACE LLC,23032.0,4.5,854529.0,0.0,0.0
BANCROFT INVESTORS 2009 LLC,24783.0,44.4,194478.0,815787.0,0.0
BARCLAY 118 LLC,94933.0,90.1,1786907.0,1518267.0,0.0
BARCLAY APARTMENTS LLC,36300.0,3.5,650027.0,0.0,0.0
BARNARD FAMILY LIMITED PARTNERSHIP,34110.0,11.4,2136383.0,0.0,0.0
BARNES BROOKE A,25920.0,1.6,296196.0,0.0,0.0
BARTON COURT ASSOCIATES LLC,25301.0,4.1,779222.0,0.0,0.0
BASCOM MANDARIN SEATTLE LLC,71592.0,17.9,3365513.0,0.0,0.0
BASE PROPERTIES II LLC,28126.0,18.7,592105.0,293390.0,0.0
BASE SWANSONIA LLC,21512.0,22.7,383155.0,388352.0,0.0
BASTA MATT J LLC,43200.0,39.9,717366.0,679134.0,0.0
BATTERY STREET LTD,63076.0,12.8,1780410.0,61902.0,0.0
BAYVIEW BUILDING ASSOCIATES LLC,45864.0,92.8,475157.0,1699325.0,0.0
BAYVIEW FARMS LLC,34680.0,25.8,700886.0,416492.0,0.0
BAYVIEW MANOR HOMES,164378.0,51.9,9756662.0,0.0,0.0
BAYVIEW WALKER LLC,166014.0,64.1,5555995.0,650377.0,0.0
BAYWATCH AT MAGNOLIA L L C,34270.0,3.3,629511.0,0.0,0.0
BCAL 3005 PROPERTY LLC,69810.0,81.7,6112543.0,927068.0,0.0
BCAL MET PARK PROPERTY LLC,727824.0,214.2,35049846.0,523774.0,0.0
BCSP MARITIME BUILDING,211043.0,24.5,4550591.0,6363.0,0.0
BDR SONATA EAST LLC,71273.0,43.9,1244221.0,701562.0,0.0
BEACON HILL VENTURES LLC,37682.0,3.6,672731.0,0.0,0.0
BEACON HOMES INC,98357.0,91.4,1422333.0,1578869.0,0.0
BECK TIM,21462.0,5.2,985505.0,0.0,0.0
BEEBE REALTY INC,36630.0,78.0,796573.0,265562.0,718506.0
BEL TEMPO LLC,92792.0,98.2,2164767.0,1631458.0,0.0
BEL-AIR L L C,21056.0,2.6,497521.0,0.0,0.0
BELKORP ORION LLC,118637.0,18.2,2787481.0,63629.0,0.0
BELL FIRST L L C,22710.0,4.4,833920.0,0.0,0.0
BELL FUND VII JACKSON STREET LLC,152532.0,123.2,2382538.0,2080912.0,0.0
BELLEVUE AVE COVE HOLDINGS LLC + ET AL,43021.0,26.7,961726.0,406719.0,0.0
BELLEVUE OLIVE LLC,48587.0,34.9,1307949.0,527077.0,0.0
BELLEVUE PLACE LLC,23150.0,6.9,489678.0,81327.0,0.0
BELLEVUE TERRACE L L C,24962.0,4.0,754159.0,0.0,0.0
BELLTOWN 2607 LLC,20565.0,2.5,466601.0,0.0,0.0
BELLTOWN ON FIRST LIMITED PARTNERSHIP,20920.0,64.0,160465.0,1189618.0,0.0
BELLWETHER VIEWS LLC,136682.0,216.8,2733787.0,3809275.0,0.0
BELMONT+SUMMIT INC,25525.0,3.0,568288.0,0.0,0.0
BELROY HOMES LLC,117144.0,83.8,2094114.0,1368666.0,0.0
BENDER DEVELOPMENT LP+BENDER EQUITIES INC,79820.0,50.5,2013252.0,749357.0,0.0
BENNETT RICHARD ARTHUR+ROBERTA LEE,20260.0,2.7,514370.0,0.0,0.0
BF BLOCKER LLC,52000.0,2.7,503178.0,0.0,0.0
BGO PLAZA 600 JV LLC,233517.0,869.6,7283859.0,0.0,10009464.0
BIESOLD 4100 LLC,98480.0,12.4,2330482.0,0.0,0.0
BIG BUY LLC,21640.0,3.1,588356.0,0.0,0.0
BIG RIG LLC,22632.0,3.0,562788.0,0.0,0.0
BILL & MELINDA GATES FOUNDATION,616891.0,925.6,22221097.0,15202434.0,0.0
BILLINGS MIDDLE SCHOOL,32961.0,1.7,321559.0,0.0,0.0
BILTMORE ASSOCIATES L L C,95611.0,408.0,1170891.0,7565581.0,0.0
BITTER LAKE VILLAGE ASSOCIATES,356181.0,324.6,8919497.0,5218486.0,0.0
BLACKWOOD PROPERTIES LLC,62440.0,0.0,0.0,0.0,0.0
BLAKE ASSOCIATES LLC,72356.0,49.5,1803709.0,751844.0,0.0
BLAKE/EASTLAKE LLC,25558.0,12.4,629849.0,169617.0,0.0
BLOCK IN BALLARD LLC,133190.0,294.7,8452616.0,4702434.0,0.0
BLUEPRINT 3414 LLC,32601.0,62.3,1698685.0,1002983.0,0.0
BLUEPRINT VAL ANNE LLC,36732.0,4.2,798640.0,0.0,0.0
BLUME 45TH LLC,55123.0,40.2,4889113.0,266864.0,0.0
BLUME EASTLAKE LTD PTRSHP,82234.0,31.4,5914423.0,0.0,0.0
BLUME ROY BUILDING LLC,77953.0,18.2,3422932.0,0.0,0.0
BMR 201 ELLIOTT AVENUE LLC,151000.0,548.3,15150539.0,8807011.0,0.0
BMR WESTLAKE LLC,109046.0,593.5,17560759.0,9417397.0,0.0
BNR CORPORATION,21870.0,4.1,778035.0,0.0,0.0
BOARD OF REGENTS OF THE UNIVERSITY OF WASHINGTON,651976.0,3931.5,82585578.0,65757679.0,0.0
BOARD OF REGENTS OF THE UW,13988081.0,30093.9,393948561.0,18933455.0,325190609.0
BOLLER HURDITCH -RLT,31236.0,4.9,921472.0,0.0,0.0
BOREALIS APARTMENTS LLC,44717.0,46.3,1051827.0,767373.0,0.0
BOREN AND SPRUCE LLC,52724.0,31.9,950588.0,506219.0,0.0
BOREN DEVELOPMENT LLC,33192.0,4.9,923976.0,0.0,0.0
BOSTON HARBOR LLC,21900.0,30.2,409536.0,528103.0,0.0
BOTTLEWORKS III LLC,39600.0,12.1,379970.0,189585.0,0.0
BOWMAN FAMILY I LLC,20296.0,4.2,790585.0,0.0,0.0
BOYD PARKWAY APTS LLC,45201.0,8.5,1598553.0,0.0,0.0
BOYER TOWING INC,23400.0,1.6,298380.0,0.0,0.0
BOYLSTON COURT ASSOCIATES,21073.0,53.8,268959.0,986187.0,0.0
BOYLSTON FLATS LLC,52253.0,37.6,801020.0,628245.0,0.0
BOYLSTON HOWELL APARTMENTS LLC,20930.0,27.6,730487.0,446499.0,0.0
BOYS & GIRLS CLUBS OF KING COUNTY `,40265.0,6.5,1220794.0,0.0,0.0
BPP 1420 FIFTH AVE OWNER LLC,1023998.0,227.7,42821862.0,0.0,0.0
BPP 800 FIFTH PROPERTY OWNER LLC,1047934.0,191.2,35965073.0,0.0,0.0
BPP 999 THIRD AVENUE OWNER LLC,1323055.0,175.4,32985783.0,0.0,0.0
BPP EXCHANGE BUILDING PROPERY OWNER LLC,384302.0,59.4,11164405.0,0.0,0.0
BPP HOLLAND JUXT LLC,320844.0,258.2,5210356.0,4340094.0,0.0
BPP HOLLAND MARINA SLU LLC,314421.0,220.6,8109853.0,3342349.0,0.0
BPP HOLLAND ONE LAKEFRONT LLC,308662.0,227.8,6010740.0,3687459.0,0.0
BRADDOCK LORNE SCOTT,480789.0,0.0,0.0,0.0,0.0
BRADLEY HILL FAMILY LTD PTSHP,28899.0,4.7,889186.0,0.0,0.0
BRATVOLD AB LIVING TRUST,20010.0,3.3,613579.0,0.0,0.0
BRE BMR 1101 WESTLAKE LLC,155815.0,102.6,8826301.0,1048932.0,0.0
BRE BMR 6TH LLC,100736.0,158.20000000000002,5245086.0,2453114.0,0.0
BRE BMR 8TH LLC,68168.0,67.0,1567892.0,1104401.0,0.0
BRE-BMR 34TH LLC,220902.0,119.0,12991439.0,939119.0,0.0
BRE-FMCA LLC,135433.0,36.8,3589134.0,332970.0,0.0
BREIER SCHEETZ PROPERTIES LLC,377558.0,397.1,5180390.0,6957891.0,0.0
BREMER APARTMENTS LLC,33400.0,68.1,522922.0,1230334.0,0.0
BRFII NORTHGATE LLC,98539.0,33.9,4322786.0,204624.0,0.0
BRICKMAN PACIFIC LLC,129000.0,26.0,4880856.0,0.0,0.0
BRICKMAN VANCE OWNER LLC,137500.0,206.6,1386347.0,0.0,2400565.0
BRIDGE POINT SEATTLE 130 LLC,128800.0,74.6,453721.0,1359579.0,0.0
BRIDGES ANNEX LLC,25003.0,3.4,641631.0,0.0,0.0
BRIGHTON APARTMENTS L L C THE,160561.0,222.1,2088585.0,3973011.0,0.0
BRISTOL APARTMENTS LLC,22308.0,3.1,587647.0,0.0,0.0
BROADMOOR GOLF CLUB,31191.0,128.7,2625272.0,2161090.0,0.0
BROADSTONE CAPITAL HILL VENTURE LLC,241130.0,193.4,4190400.0,3221716.0,0.0
BROADSTONE SKY LLC,149318.0,105.7,2610174.0,1729436.0,0.0
BROADVIEW 125 LLC,23271.0,3.0,572285.0,0.0,0.0
BROADVIEW DEVELOPMENT ASSOC II,284970.0,454.7,2951928.0,8265612.0,0.0
BROADWAY ESTATES LLC,61758.0,36.7,1759226.0,514015.0,0.0
BROADWAY INVESTMENT LTD,38160.0,86.4,494502.0,1577069.0,0.0
BROADWAY SILVER CLOUD INN LLC,100528.0,320.8,4311403.0,5609200.0,0.0
BROOK IV LLC,32667.0,20.6,770474.0,310191.0,0.0
BROOKLYN COURT LLC,138899.0,81.6,2920732.0,1243356.0,0.0
BROOKLYN MAVERICK LLC,27671.0,4.3,803189.0,0.0,0.0
BROTHERTON-PLEAS,61715.0,7.9,1481848.0,0.0,0.0
BROWN JODI LEE,36000.0,45.2,325104.0,819411.0,0.0
BROWN THEODORE F,41132.0,0.0,0.0,0.0,0.0
BRYSON PROPERTIES L L C,20332.0,15.3,206188.0,267479.0,0.0
BSOP1 LLC,44860.0,54.1,2552150.0,762867.0,0.0
BTI SEVENTH AND MADISON LP,201560.0,99.9,14259192.0,453720.0,0.0
BUCKLEY GROUP LLC,31455.0,88.2,311676.0,1629634.0,0.0
BUILDERS HARDWARESUPPLY CO,47554.0,17.4,724376.0,255997.0,0.0
BUILDINGS A & A EAST AT 1118 NW LEARY WAY L L C,39840.0,4.4,828352.0,0.0,0.0
BUILDINGS B & C AT 1141 NW 50TH ST L L C,72618.0,97.9,1910994.0,1652350.0,0.0
BUNGALOWS AT QUEEN ANNE LLC,22113.0,0.0,0.0,0.0,0.0
BURKE-STATE BLDG LLC,164380.0,94.3,4508003.0,582207.0,474403.0
BURKHEIMER FAMILY L L C,23260.0,46.6,746682.0,802619.0,0.0
BURLINGAME PARTNERS L P,26694.0,40.6,458300.0,718745.0,0.0
BWC III LLC,56184.0,20.4,941598.0,289483.0,0.0
BXP MADISON CENTRE I LLC (UND 70%)+BXP MADISON CENTRE II LLC (UND 30%(TNTS IN CMN),788000.0,270.6,20080978.0,3084493.0,0.0
BYRON MICHAEL,23616.0,42.0,201411.0,770324.0,0.0
C J & J PACIFIC L L C,28296.0,36.7,1045952.0,586041.0,0.0
C K INTERNATIONAL CORP,32100.0,5.4,73698.0,95029.0,0.0
C/E JENSEN FAMILY LIMITED PARTNERSHIP,29380.0,4.1,761625.0,0.0,0.0
C150-II 4106 12TH AVE NE LLC,85298.0,45.9,1788045.0,686549.0,0.0
C150-II 4717 BROOKLYN AVE NE LLC,58975.0,40.5,1237588.0,639213.0,0.0
CAI SUNLIGHT PROPERTIES LLC,27494.0,2.8,528058.0,0.0,0.0
CAIRNS INVESTMENTS LLC ET AL,20760.0,35.0,713827.0,588269.0,0.0
CAMBRIDGE LLLP,90920.0,212.8,1786114.0,3828516.0,0.0
CAMERON MERCER LLC,40721.0,6.1,1152213.0,0.0,0.0
CAMERON PARTNERS LLC,42182.0,106.2,503548.0,1949603.0,0.0
CAMPUS VIEW APARTMENTS II L L C,21100.0,2.5,474786.0,0.0,0.0
CAMPUS VIEW APARTMENTS LLC,31756.0,5.1,957043.0,0.0,0.0
CANAL BOILER LP,32100.0,21.6,325107.0,374112.0,0.0
CAPCO INVESTMENTS INC,23315.0,30.5,463773.0,528722.0,0.0
CAPITAL HILL PARTNERS,132828.0,6.1,1138431.0,0.0,0.0
CAPITOL HILL HOUSING IMPROVEME,20400.0,4.3,811761.0,0.0,0.0
CAPITOL HILL HOUSING IMPROVEMENT,44358.0,19.0,1210715.0,236209.0,0.0
CAPITOL HILL HOUSING IMPROVEMENT PROGRAM,20457.0,69.3,268065.0,1278024.0,0.0
CAPITOL HILL HOUSING PROGRAM,20368.0,3.1,581081.0,0.0,0.0
CAPITOL HILL PARTNERS LLC,51294.0,3.6,667624.0,0.0,0.0
CAPITOL HILL TOD LLC,24600.0,17.5,150114.0,313943.0,0.0
CAPITOL STEPS L.L.C,58905.0,8.5,1593225.0,0.0,0.0
CAR WASH ENTERPRISES INC,20535.0,14.6,335987.0,241921.0,0.0
CARKEED PARK PLACE L L C,91435.0,66.4,2619222.0,988306.0,0.0
CARLTON-ALLENTOWN LLC+QUEEN G LLC,23837.0,15.6,580984.0,235279.0,0.0
CARLYLE APARTMENTS SEATTLE LLC,21376.0,51.6,171991.0,954841.0,0.0
CAROCOURT L L C,56652.0,51.4,642714.0,902889.0,0.0
CAROLINE W LLC,22455.0,15.7,730588.0,223389.0,0.0
CASA BALLENA LLC,31432.0,20.8,1204781.0,270080.0,0.0
CASA LADARO LLC,22146.0,6.6,1239320.0,0.0,0.0
CASA MILANO LLC,22177.0,2.5,477172.0,0.0,0.0
CASCADE PUBLIC MEDIA,55800.0,20.1,2073125.0,171590.0,0.0
CASCADE SENIOR HOUSING LIMITED PARTNERSHIP % LOW INCOME HOUSING INSTITUTE,36389.0,7.6,1422075.0,0.0,0.0
CASCADIA APARTMENTS C/O CASCADIA APARTMENTS C/O GEMPERLE A RICHARD+MARY BETH,25808.0,14.2,484902.0,218550.0,0.0
CASCADIA PARTNERS LLC,33869.0,48.1,993987.0,806531.0,0.0
CASTLE LLC,32760.0,36.1,680288.0,612237.0,0.0
CATHAY INVESTMENT LLC,22480.0,15.8,909423.0,206107.0,0.0
CATHOLIC ARCHBISHOP CORP OF,24955.0,8.3,123828.0,142954.0,0.0
CATHOLIC ARCHBISHOP OF SEATTLE CORPORATION OF THE,33548.0,7.6,1422796.0,0.0,0.0
CATHOLIC COMMUNITY SRVCS,39953.0,23.7,977293.0,348135.0,0.0
CBYW SEATTLE PROPCO LLC,57566.0,80.4,2163159.0,1298045.0,0.0
CBYW WEST SEATTLE PROPCO LLC,85990.0,56.0,2857271.0,768879.0,0.0
CCC LANCASTER LLC,24939.0,3.4,640878.0,0.0,0.0
CCP QUEEN ANNE 0462 LLC,46539.0,73.3,1979464.0,1181824.0,0.0
CECCHINELLI STEVEN J,22972.0,2.8,523014.0,0.0,0.0
CEDAR HEIGHTS PTNSHP LLP,28032.0,48.0,332387.0,869942.0,0.0
CEDARS LLC,132358.0,22.1,2042757.0,211118.0,0.0
CEDARSTRAND PROPERTIES LLC,60592.0,26.6,3041168.0,196136.0,0.0
CEDERSTRAND RENTALS LLC,20150.0,1.3,251210.0,0.0,0.0
CEDRUS PROPERTIES LLC,25160.0,2.7,517022.0,0.0,0.0
CEK HOLDINGS II L L C,25821.0,5.9,203607.0,91160.0,0.0
CENTERPOINT PROPERTIES TRUST,192554.0,65.6,1739145.0,1060775.0,0.0
CENTRAL DISTRICT CPDA,114000.0,77.2,2646435.0,1188277.0,0.0
CENTRAL PUGET SOUND REGIONAL TRANSIT,64937.0,431.4,6851519.0,7438407.0,0.0
CENTRAL PUGET SOUND REGIONAL TRANSIT AUTHORITY,285461.0,448.2,10736925.0,7364830.0,0.0
CENTURY HOUSE ASSOCIATES LLC,58485.0,13.5,2531997.0,0.0,0.0
CENTURY TWENTY ONE PROMOTIONS,35946.0,12.2,237331.0,205341.0,0.0
CGA II LLC,27760.0,71.8,606278.0,1292010.0,0.0
CHAINQUI DEVELOPMENT BELLTOWN LLC,141619.0,130.1,2551821.0,2193691.0,0.0
CHAINQUI DEVELOPMENT VIRGINIA LLC,69236.0,186.4,1133693.0,182150.0,2056573.0
CHAMPION SLU PROPERTY LLC,62659.0,32.3,1582917.0,450559.0,0.0
CHAPMAN LLC,32960.0,76.3,182096.0,1419171.0,0.0
CHARBERN L L C,49357.0,33.4,1302033.0,497866.0,0.0
CHARLESGATE L L C,34060.0,55.9,370762.0,1015353.0,0.0
CHE'S CONDOMINIUM LLC,27076.0,3.9,728194.0,0.0,0.0
CHELSEA PLACE APARTMENTS L L C,38407.0,6.5,1230594.0,0.0,0.0
CHERRY ST LLC,43459.0,61.2,1486636.0,1003144.0,0.0
CHILDREN'S HOSPITAL & REGIONAL MEDICAL CENTER,230638.0,1927.7,27185311.0,33574922.0,0.0
CHIN FAMILY LIMITED PARTNERSHI,39212.0,0.0,0.0,0.0,0.0
CHIN LUND+JERRILYN,24550.0,17.3,352611.0,289936.0,0.0
CHINA SUN INC,34072.0,183.2,2071650.0,3242732.0,0.0
CHINN INVESTMENTS LLC,29631.0,101.5,2181822.0,1693634.0,0.0
CHOW FAMILY CO L L C,36000.0,6.2,1156655.0,0.0,0.0
CHRISTIAN SUSAN,21000.0,44.6,286631.0,811642.0,0.0
CHSW HOLDINGS NORTHWEST LLC,50759.0,13.7,2578840.0,0.0,0.0
CHURCH OF SCIENTOLOGY,31945.0,8.3,1564798.0,0.0,0.0
CIELE AZUL QA FLATS LLC,23060.0,16.5,415688.0,269239.0,0.0
CIRQUE APARTMENTS INVESTORS LLC,24141.0,25.0,478017.0,422457.0,0.0
CITY INVESTORS XII L L C,225581.0,1707.6,37437965.0,28404272.0,0.0
CITY INVESTORS XXII LLC,28800.0,13.0,129854.0,232025.0,0.0
CITY INVESTORS XXIV LLC,375032.0,131.9,6744381.0,1808472.0,0.0
CITY INVESTORS XXX LLC,26300.0,83.0,915831.0,1470777.0,0.0
CITY OF SEATTLE,561342.0,584.0,23874072.0,8605950.0,0.0
CITY PLACE IV L L C,24000.0,26.2,376769.0,456110.0,0.0
CKM ASSOCIATES LLC,87833.0,89.1,2544425.0,1423472.0,0.0
CKS 2155 LLC,57619.0,31.9,5372112.0,62910.0,0.0
CLAESON MARIAM,22532.0,18.8,501209.0,304479.0,0.0
CLARENDON KS LLC (76.22%-INT)+CLARENDON RAY LLC (23.78%-INT) (TNTS IN CMN),67615.0,54.0,1473414.0,869145.0,0.0
CLARWOOD ASSOCIATES,24900.0,49.6,334878.0,900943.0,0.0
CLAY HEARL K JR,38959.0,2.4,459405.0,0.0,0.0
CLISE INC & HAMMER CO LLP,169020.0,255.8,5207166.0,614318.0,2355511.0
CLISE PROPERTIES INC,48220.0,42.9,1475505.0,659957.0,0.0
CLOSE FRANK A+TERRI ANN,22580.0,9.8,754360.0,109871.0,0.0
CLOSE ROBERT J,36273.0,6.3,791757.0,38650.0,0.0
CLPF-SEATTLE DISTRIBUTION CENTER L P,175512.0,127.6,1830519.0,2220236.0,0.0
COH CARE,163759.0,298.9,9947244.0,4631314.0,0.0
COHANIM 6040 CALI LLC,29357.0,3.0,557179.0,0.0,0.0
COHANIM L L C,33181.0,19.2,552336.0,306571.0,0.0
COHANIM PLAZA LLC,37002.0,3.6,679088.0,0.0,0.0
COHO COMMERCIAL BUILDING L L C,30720.0,18.7,648539.0,287302.0,0.0
COLE OF SEATTLE WA LLC,301128.0,37.8,6872117.0,24932.0,0.0
COLISEUM BUILDING LLC,36504.0,7.6,1438285.0,0.0,0.0
COLLEGIAN COURT L L C,42131.0,45.3,927010.0,760874.0,0.0
COLLINS BUILDING LLC,50176.0,20.7,2401243.0,149611.0,0.0
COLONY SURF LLC,42816.0,6.5,1218201.0,0.0,0.0
COLUMBIA II BROADWAY MARKET LLC,81422.0,67.7,11719169.0,101937.0,0.0
COLUMBIA TRUST COMPANY,26830.0,39.4,675149.0,673610.0,0.0
COLUMBIA WASHINGTON EASTLAKE OFFICE LLC,106465.0,63.1,8406793.0,345978.0,0.0
COLUMBIA WASHINGTON WALTON LOFTS RESIDENTIAL PROPERTIES LLC,123686.0,71.4,3409029.0,1003398.0,0.0
COMMODORE II LLC,56884.0,60.4,719291.0,1065524.0,0.0
COMMODORE WAY LLC,24472.0,4.0,740695.0,1383.0,0.0
COMPASS BROADVIEW LLC,58592.0,54.3,1161737.0,906650.0,0.0
COMPASS CENTER HOUSING DEVELOPMENT,49600.0,267.3,1911882.0,4840727.0,0.0
CONAM HOLMAN 13 OWNER LLC,114259.0,100.7,2124544.0,1682940.0,0.0
CONCEPT ONE APARTMENTS LLC,46951.0,107.8,1935039.0,1835581.0,0.0
CONNELL WESTLAKE LLC,45933.0,48.0,1121322.0,791804.0,0.0
COPPINS WELL OWNER LLC,193868.0,200.7,5636389.0,3214420.0,0.0
COREY NICHOLAS ANDREW,37296.0,4.4,829742.0,0.0,0.0
CORNELIUS APARTMENTS LLC,86560.0,23.7,3503554.0,94611.0,0.0
CORNISH COLLEGE OF THE ARTS,148193.0,264.0,4628184.0,4507560.0,0.0
CORONA BUILDING LLC,39594.0,20.3,661288.0,316797.0,0.0
CORPORATION CATHOLIC ARCHBISHOP SEATTLE,307070.0,0.0,0.0,0.0,0.0
COSTCO WHOLESALE CORPORATION,158415.0,529.0,13917459.0,8567611.0,0.0
COUCH INVESTMENTS II LLC,49133.0,6.9,1296972.0,0.0,0.0
COUCH INVESTMENTS IV,28350.0,9.4,1102780.0,67092.0,0.0
CP IPERS SEATTLE LLC,71421.0,14.2,2673896.0,0.0,0.0
CP5 BELAY LLC,83999.0,90.5,1598817.0,1544137.0,0.0
CP5 NOBA LLC,45159.0,6.1,1154301.0,0.0,0.0
CR DEXTER STATION LLC,345992.0,121.8,15708841.0,720365.0,0.0
CRAWFORD GROUP OF SEATTLE L L C THE,35780.0,34.3,1486405.0,496328.0,0.0
CRE 315 MAYNARD LLC,23200.0,3.8,705349.0,0.0,0.0
CRE 4321 GENESEE LLC,23596.0,2.7,503715.0,0.0,0.0
CRE 5600 PARTNERS LLC +CRE ELISE LLC,26261.0,3.2,606328.0,0.0,0.0
CRE BUENA VISTA PARTNERS LLC,22800.0,51.5,273930.0,942950.0,0.0
CRE HH PARTNERS LLC,45576.0,115.0,409551.0,2124151.0,0.0
CRE LOWMAN PARTNERS LLC,65535.0,103.5,1797616.0,0.0,1132099.0
CRE NORTH SEATTLE PARTNERS LLC,56074.0,8.4,1571274.0,0.0,0.0
CRE QUEEN CITY LLC,28187.0,18.7,302524.0,321104.0,0.0
CRE WINSTON LLC,23469.0,47.5,256984.0,867943.0,0.0
CREF3 2326 AIRPORT WAY OWNER LLC,21349.0,0.0,0.0,0.0,0.0
CREF3 3RD AVE OWNER LLC,48280.0,45.2,1344188.0,717026.0,0.0
CREF3 DETROIT OWNER LLC,30659.0,45.7,1684545.0,691391.0,0.0
CREF3 LANDER OWNER LLC,24109.0,24.4,4588328.0,0.0,0.0
CREF3 NORFOLK STREET OWNER LLC,26380.0,2.2,408516.0,0.0,0.0
CREIGHTON JANET M+JULIE A+ET AL,21600.0,41.5,417504.0,739493.0,0.0
CREST APARTMENTS ASSOCIATES LLC,34165.0,6.6,1247552.0,0.0,0.0
CRITICAL VENTURES HOUSING PS,35520.0,31.8,453261.0,552583.0,0.0
CROFT PLACE LLC,25951.0,3.8,716339.0,0.0,0.0
CROSS & CROWN CHURCH,26373.0,29.1,360780.0,511662.0,0.0
CROSSPOINTE INVESTMENTS LLC,47081.0,6.9,1294067.0,0.0,0.0
CROWN HILL LLC,45522.0,34.5,6484421.0,0.0,0.0
CROWN RIDGE LLC,24435.0,24.7,485929.0,415470.0,0.0
CRP/CSH NORTHGATE LLC,94711.0,92.6,2777388.0,1465139.0,0.0
CRUISE LLC,1038760.0,436.6,35118454.0,4704359.0,0.0
CRYSTAL COURT APARTMENTS LLC,20559.0,2.7,511407.0,0.0,0.0
CSH MAPLE LEAF LLC,88839.0,129.1,2283065.0,2202369.0,0.0
CSH QUEEN ANNE LLC,61802.0,75.5,2802859.0,1141719.0,0.0
CSHV 1600 7TH AVENUE LLC,791396.0,168.5,28919624.0,277973.0,0.0
CSHV NWCP SEATTLE LLC,607134.0,357.40000000000003,6497555.0,6082306.0,0.0
CSIFV-COLUMBIA CITY LLC,87576.0,4.8,854024.0,5413.0,0.0
CTA I LLC,22093.0,3.0,558921.0,0.0,0.0
CUSHMAN DEBRA,42420.0,43.0,380304.0,770696.0,0.0
CWS ANTHEM LP,103792.0,63.5,1958981.0,999344.0,0.0
CX3 DAVENPORT LLC,27993.0,67.8,360467.0,1239780.0,0.0
CX3 MULHOLLAND LLC,25958.0,17.8,503814.0,285550.0,0.0
CX3 SUMMIT LLC,44672.0,88.2,567019.0,1604597.0,0.0
CY & Y ENTERPRISE LLC,22170.0,9.9,767778.0,109992.0,0.0
CYPRESS-OT8 LLC+DAVIS-OTB LLC+CROSS CREEK-OTB LLC,256482.0,275.5,11508400.0,4034705.0,0.0
DA LI INTERNATIONAL LLC,91128.0,52.6,1793195.0,811396.0,0.0
DAE II L L C,23232.0,12.3,2317021.0,0.0,0.0
DAHLGREN DUMAR LLC,23100.0,2.8,532528.0,0.0,0.0
DAHLGREN FAMILY LLC #1,45000.0,13.2,2474493.0,0.0,0.0
DAIWA WILSHIRE SEATTLE I SPE LLC,41600.0,23.4,990686.0,340664.0,0.0
DAKAR APARTMENTS LLC,23968.0,3.4,642130.0,0.0,0.0
DAKOTA ASSOCIATES LLC,22324.0,18.1,143883.0,326039.0,0.0
DALLY PROPERTIES LLC,48330.0,45.8,1217714.0,740509.0,0.0
DAMBROSIO ENTERPRISES LLC,28808.0,244.7,5087712.0,4097520.0,0.0
DANIEL SMITH INC,30496.0,35.4,1300951.0,536533.0,0.0
DAY 31 LLC,24838.0,70.9,718900.0,1262601.0,0.0
DB FIVE SEATTLE GROCERY LLC,51400.0,325.3,5724312.0,5551192.0,0.0
DC SEATTLE 1 PROPERTY LLC,185492.0,257.2,3920054.0,4450756.0,0.0
DCT INDUSTRIAL VALUE FUND I,21755.0,3.8,246735.0,47275.0,0.0
DD CULP LLC,23840.0,25.8,533133.0,431714.0,0.0
DDH PARTNERS L L C,29683.0,5.9,908675.0,21008.0,0.0
DEAL ACQUISITIONS LLC,20539.0,3.9,738992.0,0.0,0.0
DEAN QOZBP LLC,35003.0,92.8,679415.0,1679512.0,0.0
DECIBEL APARTMENTS LLC,61179.0,40.5,708161.0,691878.0,0.0
DEKA IMMOBILIEN INVESTMENT GMBH +DEKA-IMMOBILIENGLOBAL,609382.0,491.2,23865712.0,6859310.0,0.0
DEKERIVER LLC,27000.0,18.6,295243.0,321030.0,0.0
DELMAR PLUS INC,22840.0,3.8,709373.0,0.0,0.0
DELMONT APARTMENTS LLC,22344.0,22.8,192140.0,411028.0,0.0
DELROY ASSOCIATES L.L.C,40370.0,4.9,919949.0,0.0,0.0
DESC CASCADE SUPPORTIVE HOUSING LP,48074.0,144.5,1280452.0,2591681.0,0.0
DESC DELRIDGE SUPPORTIVE HOUSING LP,22620.0,84.7,1254692.0,1468644.0,0.0
DESC ESTEELE SUPPORTIVE HOUSING LP,52061.0,68.3,1514904.0,1134287.0,0.0
DESC INTERBAY SUPPORTIVE HOUSING LP,48311.0,79.9,1459377.0,1358201.0,0.0
DESC N96 SUPPORTIVE HOUSING LLP,56404.0,61.8,1679536.0,994858.0,0.0
DESC RAINIER HOUSING L P,43732.0,118.2,909112.0,2134009.0,0.0
DEVELOPMENT SERVICES OF AMERICA INC,121885.0,34.6,6509308.0,0.0,0.0
DEXTER CITY LLC,90995.0,78.2,1627450.0,1309872.0,0.0
DEXTER HOUSE ASSOCIATES L L C,32615.0,2.4,451237.0,0.0,0.0
DEXTER MULTIFAMILY LLC,306900.0,231.2,5301044.0,3821562.0,0.0
DIAMOND PARKING INC,34024.0,14.9,578536.0,223241.0,0.0
DIMENSION SEATTLE INC,193927.0,155.6,5506221.0,2378707.0,0.0
