Owner,PropertyGFABuilding_s_,TotalGHGEmissions__metric_tons_,Electricity_kBtu_,NaturalGas_kBtu_,SteamUse_kBtu_
210 E BLAINE LLC,42712.0,5.4,1011474.0,0.0,0.0
2100 AIRPORT WAY L L C,20796.0,52.9,373532.0,958164.0,0.0
2100 BUILDING LLC,63681.0,23.5,4421423.0,0.0,0.0
2145 DEXTER AVE N LLC,20594.0,3.1,573812.0,0.0,0.0
219 1ST AVE N LLC,33114.0,19.5,560292.0,311951.0,0.0
2200 BOSTON LLC,23359.0,2.9,539037.0,0.0,0.0
2200 WESTERN AVENUE LLC,66900.0,33.7,1523117.0,482591.0,0.0
2202 EIGHTH AVENUE LLC,487234.0,552.6,13259032.0,9077238.0,0.0
2203 EASTLAKE AVE EAST LLC,41687.0,41.5,754382.0,705817.0,0.0
223 YESLER LLLP,166471.0,139.9,3756776.0,2258278.0,0.0
2240 WEST COMMODORE LLC,25600.0,30.5,1016823.0,471867.0,0.0
229 QUEEN ANNE NORTH LLC,59352.0,9.1,1719784.0,0.0,0.0
22ND AVE S LLC,29740.0,13.8,1072236.0,153079.0,0.0
2301 THIRD AVE L P,57800.0,64.7,1041743.0,1114063.0,0.0
2345 EASTLAKE L L C,35224.0,7.5,1406974.0,0.0,0.0
24 ETRURIA LLC,82484.0,54.1,1734554.0,844062.0,0.0
2400 ELLIOTT LLC,214625.0,136.1,6166487.0,1944846.0,0.0
2440 FIRST AVENUE SOUTH II LP,21600.0,19.3,160147.0,346843.0,0.0
246 NICKERSON LLC,65329.0,33.0,3804114.0,240451.0,0.0
2520 AIRPORT WAY S LLC,20724.0,70.3,255892.0,1298857.0,0.0
255 SOUTH KING STREET LP,510999.0,458.0,21495846.0,6471380.0,0.0
2601 ELLIOTT OWNER LLC,350310.0,74.8,13079677.0,99308.0,0.0
26TH AVENUE BUILDING LLC,21936.0,0.0,0.0,0.0,0.0
2701 FIRST AVENUE L L C,48505.0,101.6,1651476.0,1747009.0,0.0
2721 FOURTH AVE LP,54102.0,129.1,1760003.0,2254556.0,0.0
2724 1ST AVENUE SOUTH LLC,20460.0,17.4,3278572.0,0.0,0.0
2724 6TH AVENUE SOUTH LP,20520.0,22.5,940493.0,328791.0,0.0
27OO 4TH AVE SOUTH L P,56876.0,56.3,364446.0,1023429.0,0.0
2900 ON FIRST APARTMENTS LLC,129092.0,21.2,3881085.0,10856.0,0.0
2944 FIRST AVENUE SOUTH LP,26075.0,21.8,801516.0,330468.0,0.0
2ND & JOHN APARTMENTS LLC,59811.0,39.2,1244964.0,613391.0,0.0
3 M 42 LLC,61455.0,65.2,1422375.0,1084732.0,0.0
300 FIFTH AVENUE LLC,275166.0,53.3,10024401.0,0.0,0.0
3030 LAKE CITY LLC A DELAWARE LLC,100310.0,18.9,2698077.0,84967.0,0.0
312 E OLIVE PL LLC,20928.0,40.1,321764.0,722399.0,0.0
3515 SW OCEAN VIEW DRIVE L L C,27272.0,2.9,548249.0,0.0,0.0
36 FREMONT GREEN LLC,41403.0,28.1,796640.0,449892.0,0.0
3601 W MARGINAL WAY SW LIMITED PS,28109.0,11.9,2040213.0,19292.0,0.0
3RD & CEDAR LLC,255205.0,222.4,8053483.0,3381139.0,0.0
4 & 9 TWENTY-FIVE LLC,25920.0,15.1,684773.0,215410.0,0.0
4&U COMMERCIAL LLC,30525.0,65.2,1476698.0,0.0,691464.0
4-N ASSOCIATES L L C,24000.0,5.1,628930.0,33820.0,0.0
400 FAIRVIEW AVE LLC,339038.0,293.0,12181154.0,4297384.0,0.0
400 FAIRVIEW LLC,60012.0,56.7,924100.0,974415.0,0.0
400 QUEEN ANNE LP,32250.0,3.6,680448.0,0.0,0.0
4000A LLC,21436.0,2.1,390514.0,0.0,0.0
4010 ASSOCIATES,20410.0,57.4,1128905.0,967619.0,0.0
4019 21ST AVE W INCORPORATED,26048.0,8.5,1403481.0,20367.0,0.0
403 DEXTER AVENUE NORTH GROUND OWNER LLC,77646.0,48.8,1899811.0,727982.0,0.0
40TH AVE SOUTH L L C,30375.0,0.0,0.0,0.0,0.0
